Provinces,Capitals
Canada,Ottawa,
Newfoundland and Labrador,St. John's
Nova Scotia,Halifax
New Brunswick,Fredericton
Prince Edward Island,Charlottetown
Quebec,Québec
Ontario,Toronto
Manitoba,Winnipeg
Saskatchewan,Regina
Alberta,Edmonton
British Columbia,Victoria
Nunavut,Iqaluit
Northwest Territories,Yellowknife
Yukon,Whitehorse
